Age;population;cases;deaths cancer;deaths all
0;239124.7967;0;0;8860.25
1;239124.7967;0;0;720
2;239124.7967;0;0;400
3;531751.3819;0;0;320
4;620734.7455;0;0;230
5;689923.5383;0;0;210
6;739317.7604;0;0;210
7;768917.4118;0;0;210
8;779047.6706;0;0;210
9;777187.6335;0;0;210
10;770816.3972;0;0;210
11;760259.1397;0;0;210
12;745515.8612;0;0;210
13;726730.8133;0;0;210
14;707221.7864;0;0;240.3538253
15;690306.5709;0;0;213.0247678
16;676129.4186;0;0;220.224991
17;664690.3293;0;0;261.9544949
18;656401.2341;0;0;338.5705238
19;660736.5427;0;0;458.2896985
20;687170.665;0;0;629.3286396
21;736115.5319;0;0;852.0445915
22;807571.1434;0;0;1126.437554
23;900769.4563;0;0;1451.812866
24;998045.4767;0;0;1812.193301
25;1081734.211;0;0;2191.601634
26;1151067.616;0;0;2589.343203
27;1206045.691;0;0;3005.418008
28;1246640.617;0;0;3439.682713
29;1272212.532;0;0;3888.840579
30;1282121.577;0;0;4349.594865
31;1276339.932;1.108683839;0;4821.802237
32;1254867.595;1.228698195;0;5305.462692
33;1218150.372;1.32463853;0;5798.962071
34;1176441.761;1.65703013;0;6265.174644
35;1139995.264;2.486398283;1.119811931;6666.974685
36;1109256.682;3.824070174;1.504084281;7002.748031
37;1084226.018;5.670045805;1.988987366;7272.494682
38;1064773.416;7.995114393;2.569624958;7476.759214
39;1047912.254;10.12742798;3.133383773;7628.066845
40;1030655.904;11.39513859;3.567650525;7738.942796
41;1012874.515;11.76903546;3.867528986;7809.93164
42;994568.0865;11.24911859;4.033019154;7841.033378
43;975751.9678;10.0179039;4.097023338;7833.967433
44;956779.2023;12.27325796;4.816294592;7828.280534
45;938002.8334;22.21304734;6.947585969;7863.519412
46;919438.2107;40.01978797;10.52379978;7941.403489
47;901085.3343;65.69347985;15.54493602;8061.932766
48;883275.1825;99.14327001;22.01428169;8230.604324
49;873620.2593;138.2795402;30.00743786;8573.851077
50;879733.0683;181.012672;39.6000056;9218.105936
51;901944.588;227.2518127;50.79527191;10168.86598
52;940254.8184;276.996962;63.59323678;11426.13122
53;993832.857;330.6550161;78.08184991;12977.83478
54;1043567.949;397.5845814;96.28395397;14546.43876
55;1070349.337;487.1442645;120.2223916;15854.40524
56;1073346.121;599.7409614;149.9851126;16889.66738
57;1052558.3;735.3746721;185.5721169;17652.22515
58;1008666.95;892.5646658;226.5683187;18153.97821
59;957336.8246;1037.254134;263.4267463;18668.618
60;914232.6759;1135.38627;286.6004278;19469.83599
61;880035.5807;1185.480342;295.6742777;20569.53181
62;854745.5388;1187.53635;290.6482958;21967.70546
63;837720.5578;1143.244321;272.1768754;23635.25433
64;814194.8112;1091.474881;255.311061;24902.8184
65;769402.4728;1071.098655;255.101897;25101.03762
66;702701.5499;1083.805672;272.2037766;24200.80941
67;614092.0427;1129.595929;306.6166999;22202.13374
68;504746.5006;1207.297051;357.7461797;19154.50316
69;401633.5645;1289.944342;411.9190099;16196.24588
70;331721.875;1350.573108;455.4619843;14465.6901
71;296183.9817;1388.010972;487.7806158;14012.32835
72;295019.8846;1402.257933;508.8749044;14836.16063
73;327109.6088;1393.095476;518.7944057;16897.9403
74;366693.7309;1355.497752;518.6788996;19294.99457
75;388012.8274;1284.438912;509.6681658;21124.65063
76;389946.9234;1179.700442;491.8117601;22347.66185
77;372496.019;1041.28234;465.1096824;22964.02822
78;336203.5052;870.3950465;429.6901974;22983.87447
79;293567.378;694.8786505;388.5033918;22640.06921
80;257085.6334;542.5732424;344.4993524;22165.48106
81;227301.6626;414.689261;297.8063437;21570.23474
82;204215.4654;311.2267061;248.4243659;20854.33025
83;187645.156;231.9751594;196.6431861;20017.45433
84;173407.3554;172.0949947;149.1274509;19052.40185
85;157318.6849;126.7465861;112.5418067;17951.96766
86;139197.2582;95.71951493;87.17602081;16715.83852
87;119043.0755;79.01378131;73.03009318;15344.01441
88;96965.38662;76.24065105;69.7982572;13838.41702
89;75476.93657;78.45923863;70.44788044;12243.24483
90;57090.47053;76.72865854;67.94633048;10602.69635
91;41915.23831;70.66017664;61.98784068;8918.693242
92;29951.23988;60.25379292;52.57241104;7191.235513
93;21155.73972;45.66031088;39.8239997;5427.301093
94;14545.82023;30.34821119;26.59364363;3787.382408
95;9138.563829;17.7859745;15.73237981;2431.971885
96;4891.234971;8.124404318;7.364166383;1368.047453
97;1803.833657;1.363500647;6;595.6091147
98;900;4;4;450
99;500;3;4;250
100;200;1;3;100
101;50;1;1;25
