Age;deaths all;cases;deaths cancer;population
0;132;0;0;86967
1;9;0;0;86967
2;3;0;0;86967
3;4;0;0;93730
4;8;0;0;75998
5;9;0;0;63327
6;2;0;0;55718
7;1;0;0;53171
8;5;0;0;55549
9;2;0;0;59727
10;3;0;0;62581
11;4;0;0;63974
12;5;0;0;63906
13;3;0;0;62419
14;5;0;0;60465
15;10;0;0;58997
16;13;0;0;58055
17;15;0;0;57640
18;21;0;0;57759
19;31;0;0;58562
20;46;0;0;60201
21;36;0;0;62682
22;31;0;0;66006
23;31;0;0;70126
24;52;0;0;74006
25;60;0;0;76609
26;48;0;0;77890
27;34;0;0;77849
28;56;0;0;76517
29;49;0;0;74605
30;47;0;0;72827
31;50;0;0;71212
32;66;0;0;69762
33;27;0;0;68476
34;51;0;0;67360
35;51;0;0;66419
36;48;0;0;65654
37;53;0;0;65064
38;47;1;0;64650
39;53;1;0;64414
40;66;2;0;64361
41;56;3;0;64490
42;70;4;0;64802
43;66;5;0;65294
44;73;8;0;65930
45;92;12;0;66673
46;97;19;0;67521
47;75;29;0;68475
48;100;40;0;69516
49;102;54;0;70254
50;122;68;0;70295
51;137;83;1;69623
52;160;98;1;68237
53;202;115;1;66161
54;201;133;2;63917
55;238;155;2;62030
56;243;179;3;60522
57;264;206;4;59394
58;251;236;6;58635
59;287;267;8;58008
60;345;298;9;57277
61;355;328;12;56432
62;444;358;14;55471
63;447;388;17;54411
64;447;415;19;53567
65;541;439;23;53260
66;639;459;27;53503
67;606;476;32;54295
68;728;488;37;55602
69;786;496;42;56611
70;879;497;48;56511
71;940;491;54;55265
72;1127;479;60;52875
73;1170;461;67;49365
74;1264;436;72;45344
75;1374;407;76;41416
76;1342;372;78;37610
77;1283;331;78;33924
78;1232;286;76;30366
79;1401;241;75;27119
80;1435;202;79;24366
81;1436;169;88;22113
82;1502;142;100;20362
83;1515;121;118;19111
84;1491;107;140;18362
85;1525;98;167;16000
86;1598;96;198;14000
87;1559;94;193;12050
88;1541;93;191;10491
89;1438;87;178;8950
90;1405;85;174;7512
91;1196;72;148;6107
92;1103;66;136;4911
93;969;58;119;3808
94;780;47;96;2839
95;621;37;76;2059
96;464;28;57;1438
97;349;21;43;974
98;276;17;34;625
99;156;10;19;349
100;85;5;10;193
101;54;3;6;108
102;27;2;3;54
103;10;1;1;27
104;11;1;1;17
105;5;0;0;6
106;2;0;0;2
107;1;0;0;1
108;0;0;0;0
109;0;0;0;0
110;0;0;0;0
